"gene","logFC","logCPM","F","PValue","FDR"
"SMOX",4.51234659980081,6.01345760421672,24.7057171756032,0.000378155709946928,0.0444306328503841
"LDHA",2.10821324173026,8.62165680116456,26.2581540444133,0.000392823937542389,0.0455130178747029
"IL1B",-4.48801946679266,6.68375408317989,26.0785633987926,0.000403395577531623,0.046097615174915
"TUBA4A",2.39187633777487,7.23807146723298,25.9381087453168,0.000413050279744027,0.0465630464003335
"ANP32A",2.0647601855236,8.14474833034624,25.7312194178112,0.000424673424567261,0.0472350094365345
"EXOSC4",4.78908604159582,5.52793183649089,22.6424733993304,0.00044445734967421,0.0487850422497665
"CCR1",-4.40101806726408,6.60678674357913,25.2031662986073,0.000459632384972904,0.0497954981226489
"LYZ",-1.98821060560324,10.871106093864,24.9214625542042,0.000479429833454551,0.0507237238131208
"BTG2",-2.75833777432956,7.79248821323122,24.909453358449,0.000480361325969377,0.0507237238131208
"SLC2A3",1.74834125584942,9.64418314212963,24.099147536427,0.000544218812468243,0.0556892986749566
"RGS2",-2.45941453861349,8.64384167828275,24.0918890160644,0.000544825541357468,0.0556892986749566
"CD82",2.33221523094956,7.12861972387004,24.0272272505173,0.00055233707337725,0.0556892986749566
"CD3E",-2.7855536659289,7.63624163871266,23.9549748571765,0.000556662337197788,0.0556892986749566
"CYP4F3",4.70722985258885,5.46950793802141,21.3853766955644,0.000560764935111047,0.0556892986749566
"TRIM25",3.04112451060868,6.16931384290281,23.5810435174173,0.000586689944240416,0.0575784413512183
"TRBC1",-3.19654006683912,7.25653623785431,22.9145892665312,0.000656975010252969,0.063726575994538
"GSN",3.76733779794227,5.47179892504897,21.3718356941925,0.000669078615353868,0.0641546414859997
"CD59",3.30439951296727,5.88503050237801,22.2176501770293,0.000697132503231995,0.0660849925222875
"PTMA",-1.70094140877341,11.5456143878387,22.3161817103235,0.000724268421163676,0.0678859232510942
"FLOT1",2.69350811265916,6.65899057104096,22.2218907319817,0.000742205222867523,0.0687941774351208
"MCEMP1",3.03645835177545,6.1714457502851,21.6028276338565,0.000811271019037499,0.0722368728537379
"GPX4",-2.61524632251413,7.82505681125256,21.6302446132835,0.000812086667856852,0.0722368728537379
"CFL1",1.60358357342875,10.3533121802463,21.6038442338523,0.000815648421270792,0.0722368728537379
"GPR183",-2.69724940128061,7.55784767830395,21.5779516102515,0.000819316325110872,0.0722368728537379
"ARL4C",-2.42831905316759,7.93481564858493,21.4492583259346,0.000837311656443461,0.0722368728537379
"EVL",-4.2004828213936,6.43255748948134,21.4351153618619,0.000839750399238409,0.0722368728537379
"ZNF331",-2.85313063530906,7.24782844651094,21.4313060065937,0.000839963637834161,0.0722368728537379
"RICTOR",2.06357232370965,7.4639940242794,21.1940085523115,0.000875514891808955,0.0745259717088806
"IFITM1",2.06385221410092,7.42034115337395,21.0889882053329,0.000891496745068647,0.0751198570440672
"HLA-DRB1",-4.15913272059168,8.43859121578388,20.8749457955011,0.00092377984632838,0.0770617147807135
"TRBC2",-3.10338548900315,7.71065936351518,20.6126638790718,0.000966876161596836,0.0796726660272257
"CDKN1A",-4.12227686400758,6.36600000913697,20.538760713834,0.000979953493447041,0.0796726660272257
"AGTPBP1",2.31549721516785,6.81477014226055,20.543515660102,0.000983731071781857,0.0796726660272257
"TIMP1",1.68340334744443,9.11502340294421,20.2881871168827,0.0010234654523259,0.0802134670187049
"RGS10",-2.4565346887425,7.68675322574842,20.2604794290806,0.00102850705611731,0.0802134670187049
"LCK",-6.90677687941518,6.04124888846186,20.2654325676586,0.00102858706570918,0.0802134670187049
"SERPINB1",1.75189443404256,8.50888768651303,20.2589657215711,0.00102887089079375,0.0802134670187049
"SBNO2",3.40691867027834,5.64003391147058,19.51132889094,0.00106002590143406,0.0818771858311386
"LIN7A",3.73979776480444,6.20795292650423,19.5548901142184,0.00111277676497157,0.0849434123086641
"ATP6AP1",3.16773986635683,5.79281924977026,19.5134863308254,0.00112008815079754,0.0849434123086641
"IL18R1",4.52282945919416,5.34754941776689,17.8382439545188,0.00113947629915265,0.0856352368246075
"DUSP2",-2.7492289301919,7.15740969195695,19.5321592318894,0.00117162000638106,0.0865875685431281
"AHNAK",-2.95848687991365,7.0495581882073,19.5262524513574,0.00117290760553506,0.0865875685431281
"UGCG",2.87671547906877,6.05286080662991,19.2621472531917,0.00122375223929545,0.0880119606822099
"PPBP",2.68784088800717,6.27882428410541,19.2773642436084,0.00123458771067146,0.0880119606822099
"HLA-DRB5",-7.0079637578711,6.12615504428647,19.2395986965107,0.00123647926100629,0.0880119606822099
"BASP1",2.55732219012819,7.78003254088361,19.2193722036856,0.00124145135025656,0.0880119606822099
"IVNS1ABP",1.84244667520457,7.84715513997252,19.1176936156358,0.00126394594861668,0.0880119606822099
"LRRFIP2",2.24942887707633,6.76381109927494,19.1332942179693,0.00126605553606631,0.0880119606822099
"LILRA5",2.24942887707633,6.76381109927494,19.1332942179693,0.00126605553606631,0.0880119606822099
"TGFBI",-6.73339785580775,5.89868596737145,19.0049678616893,0.00129156058693663,0.0882788921403806
"PPP4R2",2.10900912967286,7.1079435762559,18.9664501850872,0.00130202088373839,0.0882788921403806
"MPEG1",-3.47646122878963,6.62628120947071,18.9324565820983,0.00130774870825537,0.0882788921403806
"ACTB",1.50208094466742,12.9717385275714,18.9117813056232,0.00131222520083999,0.0882788921403806
"BPI",4.08179510973251,5.69468031488775,17.7705924737058,0.00133700855379666,0.0892266028461736
