"gene","HC1","HC2","NSES"
"KCNAB2",4.76169449409717,5.38075636542466,5.61139554019353
"RPL22",11.2385885954608,11.4091799107893,10.7018232808177
"TNFRSF25",4.76169449409717,4.10973135280164,4.04905405047373
"NOL9",5.59729726055919,3.48082754210608,4.45565018125735
"KLHL21",5.23916589294564,4.54624760585208,4.04905405047373
"PHF13",4.44669159404492,3.48082754210608,4.45565018125735
"CAMTA1",6.42054890480812,6.59343660024882,5.44289479092054
"VAMP3",6.50749437901301,6.17323145804348,6.43647455431806
"PARK7",6.81077107757232,7.85029573341863,6.43647455431806
"RERE",5.23916589294564,5.57787780722941,5.44289479092054
"ENO1",7.22413018314228,7.85029573341863,8.77115177229264
"ENO1-AS1",4.44669159404492,3.48082754210608,4.04905405047373
"H6PD",4.04312272295644,4.88091111817509,3.48082754210608
"SLC25A33",5.42931587612097,5.90604956903415,4.45565018125735
"PIK3CD",6.0084396527514,4.10973135280164,6.34379405572357
"CLSTN1",4.04312272295644,4.88091111817509,3.48082754210608
"CTNNBIP1",4.04312272295644,4.88091111817509,4.77248964499869
"LZIC",5.02009356627595,5.15237377129022,4.77248964499869
"RBP7",6.74071719423792,7.55510154356781,4.45565018125735
"UBE4B",3.48082754210608,5.15237377129022,4.45565018125735
"KIF1B",4.44669159404492,5.57787780722941,6.60568442928479
"PGD",5.74774357290188,5.90604956903415,8.40894610012238
"PEX14",3.48082754210608,4.10973135280164,4.04905405047373
"CASZ1",4.44669159404492,3.48082754210608,4.77248964499869
"TARDBP",5.59729726055919,5.15237377129022,4.45565018125735
"AL109811.3",3.48082754210608,4.10973135280164,4.04905405047373
"SRM",5.42931587612097,4.88091111817509,4.04905405047373
"EXOSC10",5.23916589294564,4.10973135280164,5.2520788307383
"FBXO2",4.44669159404492,4.10973135280164,3.48082754210608
"FBXO44",4.76169449409717,4.54624760585208,4.04905405047373
"FBXO6",4.04312272295644,4.10973135280164,4.45565018125735
"MAD2L2",5.59729726055919,5.90604956903415,5.0321216312624
"AGTRAP",6.22915951780443,6.39857908435901,6.75711516621442
"MTHFR",5.88397211596874,5.38075636542466,4.45565018125735
"CLCN6",4.04312272295644,3.48082754210608,4.45565018125735
"KIAA2013",4.44669159404492,4.54624760585208,5.0321216312624
"MFN2",5.59729726055919,4.88091111817509,5.0321216312624
"MIIP",4.44669159404492,4.54624760585208,4.45565018125735
"TNFRSF1B",7.50334874982936,6.84380549892419,7.47755009502432
"VPS13D",4.76169449409717,5.15237377129022,4.45565018125735
"DHRS3",4.76169449409717,5.15237377129022,5.61139554019353
"PRDM2",6.87758025613716,6.68180946011435,6.68338572932004
"EFHD2",7.99963702009445,8.41180310332067,9.45318870437327
"CASP9",4.04312272295644,4.10973135280164,3.48082754210608
"DDI2",4.04312272295644,4.88091111817509,5.0321216312624
"PLEKHM2",5.23916589294564,5.75127484793027,6.24474840414067
"SLC25A34",4.04312272295644,4.10973135280164,4.04905405047373
"AL450998.2",5.59729726055919,4.88091111817509,3.48082754210608
"SPEN",5.74774357290188,5.90604956903415,5.2520788307383
"ZBTB17",4.04312272295644,3.48082754210608,4.45565018125735
"FBXO42",5.02009356627595,4.10973135280164,5.0321216312624
"SZRD1",5.59729726055919,5.38075636542466,6.13839840344629
"NECAP2",5.02009356627595,4.88091111817509,4.77248964499869
"LINC01772",4.04312272295644,3.48082754210608,5.0321216312624
"SDHB",6.12301650389485,5.90604956903415,6.02358031004547
"PADI2",3.48082754210608,5.15237377129022,5.0321216312624
"PADI4",5.02009356627595,4.10973135280164,5.61139554019353
"RCC2",4.44669159404492,4.54624760585208,3.48082754210608
"ARHGEF10L",4.04312272295644,4.10973135280164,3.48082754210608
"IFFO2",4.76169449409717,4.10973135280164,4.04905405047373
"UBR4",6.12301650389485,5.90604956903415,6.24474840414067
"EMC1",4.76169449409717,4.10973135280164,3.48082754210608
"MRTO4",4.44669159404492,4.10973135280164,4.45565018125735
"AKR7A2",4.44669159404492,5.15237377129022,3.48082754210608
"PQLC2",3.48082754210608,4.10973135280164,4.45565018125735
"CAPZB",7.62500261942969,8.06268261269304,8.38588893233763
"MINOS1",6.87758025613716,7.18354829977047,5.44289479092054
"NBL1",4.44669159404492,3.48082754210608,4.77248964499869
"CAMK2N1",4.04312272295644,4.10973135280164,4.45565018125735
"MUL1",5.02009356627595,4.10973135280164,3.48082754210608
"CDA",5.59729726055919,6.39857908435901,8.77115177229264
"DDOST",5.02009356627595,5.57787780722941,5.2520788307383
"HP1BP3",6.66708727658494,5.90604956903415,5.89882800467142
"EIF4G3",4.04312272295644,4.10973135280164,5.89882800467142
"ECE1",5.23916589294564,4.54624760585208,6.34379405572357
"ALPL",3.48082754210608,4.88091111817509,8.73511481054882
"USP48",4.76169449409717,4.54624760585208,5.0321216312624
"CDC42",9.16792599386825,9.2210373146674,9.70681705650417
"ZBTB40",4.44669159404492,4.10973135280164,3.48082754210608
"LUZP1",5.88397211596874,4.54624760585208,6.43647455431806
"HNRNPR",6.74071719423792,5.90604956903415,5.76225821868372
"TCEA3",4.04312272295644,3.48082754210608,4.04905405047373
"ID3",4.44669159404492,4.88091111817509,4.45565018125735
"RPL11",12.6358483642359,12.7872828552664,11.6875824286218
"ELOA",4.04312272295644,4.10973135280164,3.48082754210608
"PITHD1",6.42054890480812,6.04581683429422,5.44289479092054
"LYPLA2",5.23916589294564,4.54624760585208,5.2520788307383
"HMGCL",3.48082754210608,4.10973135280164,4.04905405047373
"PNRC2",6.58949650157832,7.18354829977047,6.60568442928479
