"gene","logFC","logCPM","F","PValue","FDR"
"UVSSA",-1.62093908360886,4.93646821351006,1.75810717323146,0.184897978165609,0.723553299171801
"MRPL17",-1.62093908360886,4.93646821351006,1.75810717323146,0.184897978165609,0.723553299171801
"AP1B1",-1.62093908360886,4.93646821351006,1.75810717323146,0.184897978165609,0.723553299171801
"TMEM259",-1.00830977887318,5.90259651881721,1.75579851480983,0.185186627739231,0.724386465316156
"TCEA2",-1.62003279695345,4.92664745117596,1.75347924613957,0.185477107505224,0.724832481827933
"MBOAT7",0.885288507138957,6.68808136315318,1.75341964508189,0.185484597560288,0.724832481827933
"GPBP1L1",0.984440316049333,6.18059157682283,1.75219926266176,0.18563767080482,0.724832481827933
"MAPRE1",0.898652749018687,6.58350671870334,1.75210140768295,0.185649952037531,0.724832481827933
"SUGT1",-1.06842698959289,5.75146413554756,1.75186521755766,0.185679588088502,0.724832481827933
"TFDP1",0.946077824423128,6.28383107080436,1.75028065103682,0.185884487757376,0.725336287601608
"SMIM13",-1.33629956426227,5.22836861743578,1.74542276446693,0.186490311652465,0.726220203084266
"RPL21",-0.658202110870462,12.1897615787564,1.74494003591432,0.186551244790297,0.726220203084266
"MX2",1.13551080271001,5.75464135227835,1.74472932337855,0.186577837808845,0.726220203084266
"ATP2A3",-0.987591977752914,5.88991436042993,1.74464097542967,0.186588987703758,0.726220203084266
"PRDM4",1.58243902205081,5.12932550661831,1.74437398848859,0.186622685611114,0.726220203084266
"IER3",-0.759506484931556,7.43828343788059,1.74396310212113,0.1866745906468,0.726220203084266
"SH2B3",-1.22229014628024,5.43230278374791,1.74378900293371,0.186696565907019,0.726220203084266
"SBNO1",0.913916274369387,6.509862826494,1.74361571734606,0.186718473377688,0.726220203084266
"CSDE1",-0.72597100018989,8.1134030867914,1.73968481022895,0.187215876867617,0.727661320592655
"TPP2",-0.908908097684879,6.21366658485592,1.73889558852208,0.18731592494274,0.727661320592655
"HCFC1R1",-1.11742724799282,5.60710915195729,1.73848795931741,0.187367616664659,0.727661320592655
"SF3B4",-1.0232096577631,5.87565869921088,1.73828528796769,0.187393332561659,0.727661320592655
"SNU13",-0.756064562804603,7.58572041491508,1.73526914292923,0.187776459246377,0.72823228577835
"UBE2F",1.00260707760206,6.08123180032893,1.7352369656925,0.187780550131944,0.72823228577835
"CHMP4A",-1.03827211591264,5.77136372555253,1.73469239688634,0.187849814859749,0.72823228577835
"DAD1",-0.938050029142474,6.17026749366943,1.73455514422478,0.187867283266372,0.72823228577835
"EPRS",-1.42587297217825,5.13490025409274,1.73353418339785,0.18799723061342,0.72823228577835
"C21orf2",-1.42587297217825,5.13490025409274,1.73353418339785,0.18799723061342,0.72823228577835
"RAB27A",0.920355211525036,6.45294264230445,1.73258877859164,0.188117691914403,0.728403888853987
"SSU72",-0.873893937583903,6.49994550270911,1.72893692145237,0.188583765050388,0.729113262057562
"PCYT1A",1.07097015277739,5.87503048973352,1.72770616767215,0.188741144143389,0.729113262057562
"DEGS1",-0.887329037604033,6.33898401254351,1.72732196428699,0.188790304700424,0.729113262057562
"EDA",-1.60791510364799,4.92227499795142,1.72697622188056,0.188834540999224,0.729113262057562
"ARMC1",-1.60791510364799,4.92227499795142,1.72697622188056,0.188834540999224,0.729113262057562
"BAHD1",-1.60791510364799,4.92227499795142,1.72697622188056,0.188834540999224,0.729113262057562
"ECSIT",-1.60791510364799,4.92227499795142,1.72697622188056,0.188834540999224,0.729113262057562
"FAM3C",-1.15877846567147,5.51697819534794,1.72548799931177,0.18902516257986,0.729554743710163
"ABCE1",1.18568690532974,5.60603086890786,1.72473943867729,0.189121134572539,0.729630710387962
"PPP1CC",-0.871062814488335,6.42596885171398,1.72056583345484,0.189657222811341,0.730874272135841
"EEF1B2",-0.667283533243041,10.5486318852767,1.72055967390969,0.189658016859666,0.730874272135841
"LAP3",1.08681953297935,5.87380191964307,1.72044534235606,0.189672725161141,0.730874272135841
"INTS6",0.883769760660341,6.6617002359735,1.71855068905699,0.189916696755492,0.731494501654315
"NUCB1",0.980438057389904,6.2065689291257,1.71636298596642,0.190198855511662,0.731494501654315
"GLRX3",-1.2100263592312,5.44596428714508,1.71625503971253,0.190212775608896,0.731494501654315
"ASAP1",1.03603099899995,5.9968010984355,1.71550433171009,0.190309733352651,0.731494501654315
"LETM1",1.8594483458901,4.87220242976743,1.71503542902922,0.19037029281464,0.731494501654315
"QRSL1",1.8594483458901,4.87220242976743,1.71503542902922,0.19037029281464,0.731494501654315
"ANXA5",-0.791212604478465,6.99296646126689,1.71362275420486,0.190552967924569,0.731494501654315
"GRINA",0.77576218978078,7.79074485234351,1.71344668485931,0.190575747364721,0.731494501654315
"TMEM179B",-1.05810329510112,5.74631177161061,1.71262082182598,0.190682627900585,0.731494501654315
"BLOC1S1",0.7533537126559,8.22243032347197,1.7117090558047,0.190800725529973,0.731494501654315
"NUFIP2",0.847820967230105,6.91965421071162,1.71169745740442,0.190802228474935,0.731494501654315
"MED14",1.37184963148957,5.2967888186632,1.71131208800755,0.190852156097685,0.731494501654315
"SLC16A3",1.37184963148957,5.2967888186632,1.71131208800755,0.190852156097685,0.731494501654315
"LSM6",-0.917968663956118,6.21336356749058,1.71090862290631,0.190904462163234,0.731494501654315
"NFATC2IP",-1.03072913505447,5.76838408218667,1.70883289594712,0.191173787414286,0.732050084137542
"TRMT112",-0.827505029144369,6.72749826876798,1.70730755417775,0.191371993813681,0.732050084137542
"EIF1AX",-0.795971723792196,6.97028486124097,1.70692094564057,0.19142226731669,0.732050084137542
"TOR1AIP2",0.912358675639832,6.44760572690796,1.70675731730883,0.191443549581708,0.732050084137542
"FUBP3",-1.59668130116617,4.92771660620791,1.70530101138157,0.191633067092391,0.732050084137542
"AP5Z1",1.53987778479262,5.08497399738019,1.70472818976484,0.191707680518658,0.732050084137542
"TOR1A",-1.59374236315893,4.94016159987404,1.70249143714605,0.191999346522798,0.732050084137542
"TAX1BP3",-1.59374236315893,4.94016159987404,1.70249143714605,0.191999346522798,0.732050084137542
"CD300LB",-1.59374236315893,4.94016159987404,1.70249143714605,0.191999346522798,0.732050084137542
"CRLS1",-1.59374236315893,4.94016159987404,1.70249143714605,0.191999346522798,0.732050084137542
"ID1",1.56705361438692,5.11001028554089,1.70141550753826,0.192139832051133,0.732050084137542
"ZRSR2",1.36760793364333,5.29407360811559,1.70136175746502,0.1921468593149,0.732050084137542
"TP53",-1.59582053276775,4.91790120944929,1.7005913911623,0.192247515940413,0.732050084137542
"CASP10",-1.40683762381178,5.15722148035683,1.69983748541622,0.192346085775326,0.732050084137542
"CCDC32",-1.40683762381178,5.15722148035683,1.69983748541622,0.192346085775326,0.732050084137542
"C6orf48",-0.876261446773855,6.38191815062132,1.69948004739255,0.192392860413735,0.732050084137542
"SMAD2",-1.20760106948008,5.43653973395867,1.69787964333298,0.192602354336326,0.732050084137542
"ITPR2",1.26312445650419,5.46089934502304,1.69669855968992,0.192757149099455,0.732050084137542
"THBD",-0.892663605611085,6.22366736920249,1.69550394251212,0.192913860398712,0.732050084137542
"PEBP1",-0.778716199771077,7.18031771622312,1.69538278200906,0.192929765000058,0.732050084137542
"CALHM6",-1.31421372925908,5.23414890298328,1.69488554900202,0.192995021401016,0.732050084137542
"PYM1",-1.03715758981136,5.74609954594026,1.69428428435877,0.193074000486076,0.732050084137542
"MICB",-1.89902570518341,4.70111181825977,1.69427693698564,0.193074968061565,0.732050084137542
"RRAGB",-1.89902570518341,4.70111181825977,1.69427693698564,0.193074968061565,0.732050084137542
"SEC23B",-1.89902570518341,4.70111181825977,1.69427693698564,0.193074968061565,0.732050084137542
"TRA2B",0.752976499146181,8.17857183456588,1.69406185022121,0.193103231937831,0.732050084137542
"TRAF5",1.84870769467674,4.86648090306897,1.6939637505357,0.193116098105293,0.732050084137542
"MAML2",-0.882562799272649,6.38476924340251,1.69002921874026,0.193633930433244,0.733722230849267
"HTATSF1",-1.20227173479077,5.4337726192667,1.68943444822017,0.193712333626003,0.733728617346175
"MYO9B",-0.784362981932827,7.01519014684068,1.68766784522189,0.193945484151782,0.73432090674095
"MED18",1.84451503675314,4.8637998633306,1.68666237565558,0.194078296814535,0.734461250211657
"IDH3A",1.5585770052446,5.1028172416542,1.6862248579215,0.194136139746452,0.734461250211657
"VBP1",-1.3994145034719,5.1598723948592,1.68217778648508,0.194672072306852,0.73544946466037
"DNAJC5",-1.03350101414369,5.74040991940335,1.68194313835421,0.194703211483612,0.73544946466037
"RASGEF1B",-0.888679053075563,6.32846146451934,1.68026540305116,0.194925942309318,0.73544946466037
"SYK",-1.00782487695197,5.86081741630738,1.67980122042879,0.194987612118973,0.73544946466037
"NRAS",0.994256248753488,6.07089740167555,1.67976793272865,0.1949920414942,0.73544946466037
"MS4A7",-1.57859207394392,4.96154323241154,1.67903639277827,0.195089270580812,0.73544946466037
"MT1F",-1.57859207394392,4.96154323241154,1.67903639277827,0.195089270580812,0.73544946466037
"CNPY3",-0.783846330640285,7.08098618716632,1.67610492624831,0.195479549058485,0.73544946466037
"C19orf70",-0.939064040923104,6.03689435810165,1.67591836943732,0.195504411661696,0.73544946466037
"F2R",1.84176326984917,4.85136462301859,1.67565750864356,0.195539169453148,0.73544946466037
"ID2",-0.736311584784712,7.5922924583911,1.67518364737296,0.195602385984618,0.73544946466037
"MFSD12",-1.12844542661234,5.47910697781311,1.67506778722675,0.195617827077564,0.73544946466037
