"fold","strategy","algorithm","ROC_AUC","PR_AUC","sensitivity","specificity","balanced_accuracy","PPV","NPV","F1","MCC","Brier","calibration_slope"
"Fold1.Rep02","weighted","glmBoost",1,1,0.960526315789474,1,0.980263157894737,1,0.571428571428571,0.979865771812081,0.740859082721625,0.0665829152200184,105.710652724382
"Fold1.Rep02","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.0011611,13.8844008545057
"Fold1.Rep02","weighted","XGBoost",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00316795075072696,16.7703751465022
"Fold2.Rep02","weighted","LASSO",1,1,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.00836855918816822,23.8788280884886
"Fold2.Rep02","weighted","glmBoost",1,1,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.0161417180269084,23.9418314026217
"Fold2.Rep02","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00105940372670807,12.4304798929679
"Fold2.Rep02","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.000468607720906678,11.7691960834926
"Fold3.Rep02","weighted","LASSO",1,1,1,1,1,1,1,1,1,0.0022453393228133,31.3945872227475
"Fold3.Rep02","weighted","glmBoost",1,1,0.986842105263158,1,0.993421052631579,1,0.818181818181818,0.993377483443709,0.898563446809731,0.0161281408414342,92.4947292576067
"Fold3.Rep02","weighted","Ranger",0.999269005847953,0.999956859206933,0.993421052631579,0.888888888888889,0.941154970760234,0.993421052631579,0.888888888888889,0.993421052631579,0.882309941520468,0.00358452173913044,2.30903509740299
"Fold3.Rep02","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00213195116077544,44.65402911173
"Fold4.Rep02","weighted","LASSO",0.996710526315789,0.999828827450341,0.960526315789474,1,0.980263157894737,1,0.571428571428571,0.979865771812081,0.740859082721625,0.0583400592516914,4.17217148145084
"Fold4.Rep02","weighted","glmBoost",0.996710526315789,0.999827998926745,0.953947368421053,1,0.976973684210526,1,0.533333333333333,0.976430976430976,0.713282503517759,0.0726008646786342,4.2320182904283
"Fold4.Rep02","weighted","Ranger",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00583375,168.614576301599
"Fold4.Rep02","weighted","XGBoost",0.998355263157895,0.999914280512879,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00661588101854343,1.42142138969375
"Fold5.Rep02","weighted","LASSO",1,1,1,1,1,1,1,1,1,0.011845750724101,21.175116893195
"Fold5.Rep02","weighted","glmBoost",1,1,0.986842105263158,1,0.993421052631579,1,0.8,0.993377483443709,0.888523316638638,0.0213149577217669,21.4073353012565
"Fold5.Rep02","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.001403607,16.5251160271047
"Fold5.Rep02","weighted","XGBoost",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00455127153223851,19.5195790221185
"Fold1.Rep03","weighted","LASSO",1,1,1,1,1,1,1,1,1,0.00602915257320807,35.9491920938231
"Fold1.Rep03","weighted","glmBoost",1,1,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.0632362958940979,58.6002249205879
"Fold1.Rep03","weighted","Ranger",1,1,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00355664596273292,84.3484432682479
"Fold1.Rep03","weighted","XGBoost",0.998538011695906,0.999913433654095,0.993421052631579,0.888888888888889,0.941154970760234,0.993421052631579,0.888888888888889,0.993421052631579,0.882309941520468,0.00890383985142163,1.70248648075374
"Fold2.Rep03","weighted","LASSO",0.99780701754386,0.999872253003179,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.0111472430669889,2.30487150920525
"Fold2.Rep03","weighted","glmBoost",0.99780701754386,0.999872253003179,0.967105263157895,1,0.983552631578947,1,0.642857142857143,0.983277591973244,0.78848622455677,0.0674696379879093,4.5536935065872
"Fold2.Rep03","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00219296894409938,24.5459132109047
"Fold2.Rep03","weighted","XGBoost",0.999269005847953,0.999956859206933,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.00735567440277209,2.25644073767402
"Fold3.Rep03","weighted","LASSO",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00629759880056436,34.976939542491
"Fold3.Rep03","weighted","glmBoost",0.998355263157895,0.999913433654095,0.940789473684211,1,0.970394736842105,1,0.470588235294118,0.969491525423729,0.665375426510729,0.0751937582999693,6.94608936313647
