"fold","strategy","algorithm","gene","importance","rank","selected"
"Fold2.Rep01","unweighted","Ranger","PLEKHA1",0.000578313980239782,36,FALSE
"Fold2.Rep01","unweighted","Ranger","ABLIM1",0.000555425263945568,37,FALSE
"Fold2.Rep01","unweighted","Ranger","FBXL16",0.000547697336761706,38,FALSE
"Fold2.Rep01","unweighted","Ranger","EVL",0.000499656863797388,39,FALSE
"Fold2.Rep01","unweighted","Ranger","EPHX2",0.00049373531836812,40,FALSE
"Fold2.Rep01","unweighted","Ranger","TNFRSF25",0.000464444198391329,41,FALSE
"Fold2.Rep01","unweighted","Ranger","SBK1",0.000441142173752664,42,FALSE
"Fold2.Rep01","unweighted","Ranger","PJA1",0.000439866997226392,43,FALSE
"Fold2.Rep01","unweighted","Ranger","NELL2",0.000430412710654656,44,FALSE
"Fold2.Rep01","unweighted","Ranger","UBASH3A",0.000427053541457808,45,FALSE
"Fold2.Rep01","unweighted","Ranger","IKZF2",0.000426465326614633,46,FALSE
"Fold2.Rep01","unweighted","Ranger","NLRC3",0.000424853635409801,47,FALSE
"Fold2.Rep01","unweighted","Ranger","EOMES",0.00041040821014875,48,FALSE
"Fold2.Rep01","unweighted","Ranger","LRRN3",0.000386912162907386,49,FALSE
"Fold2.Rep01","unweighted","Ranger","CD6",0.000383418360171977,50,FALSE
"Fold2.Rep01","unweighted","Ranger","DCAF16",0.00037119469318244,51,FALSE
"Fold2.Rep01","unweighted","Ranger","SAMD3",0.000368135111249965,52,FALSE
"Fold2.Rep01","unweighted","Ranger","SIRPG",0.000360976229091541,53,FALSE
"Fold2.Rep01","unweighted","Ranger","CCR6",0.000346382974994397,54,FALSE
"Fold2.Rep01","unweighted","Ranger","THEM4",0.000337810688407258,55,FALSE
"Fold2.Rep01","unweighted","Ranger","STMN3",0.000315917161570272,56,FALSE
"Fold2.Rep01","unweighted","Ranger","OSGEPL1",0.000315885903901873,57,FALSE
"Fold2.Rep01","unweighted","Ranger","TBC1D4",0.000313509982477464,58,FALSE
"Fold2.Rep01","unweighted","Ranger","KDM2B",0.000303685651609862,59,FALSE
"Fold2.Rep01","unweighted","Ranger","DYRK2",0.000289322429884482,60,FALSE
"Fold2.Rep01","unweighted","Ranger","TIGIT",0.000284318458374103,61,FALSE
"Fold2.Rep01","unweighted","Ranger","BCKDHB",0.000269934269963681,62,FALSE
"Fold2.Rep01","unweighted","Ranger","PAQR8",0.000268370161018657,63,FALSE
"Fold2.Rep01","unweighted","Ranger","NAT10",0.000268083194168377,64,FALSE
"Fold2.Rep01","unweighted","Ranger","GLOD4",0.000261296386710571,65,FALSE
"Fold2.Rep01","unweighted","Ranger","RABL2B",0.000245190135847502,66,FALSE
"Fold2.Rep01","unweighted","Ranger","MTR",0.000244534642773901,67,FALSE
"Fold2.Rep01","unweighted","Ranger","GCET2",0.000240932859543752,68,FALSE
"Fold2.Rep01","unweighted","Ranger","SIDT1",0.000236213847268697,69,FALSE
"Fold2.Rep01","unweighted","Ranger","KIAA0182",0.000235083056776688,70,FALSE
"Fold2.Rep01","unweighted","Ranger","DDHD2",0.000229906472803197,71,FALSE
"Fold2.Rep01","unweighted","Ranger","TTC27",0.000225628300813936,72,FALSE
"Fold2.Rep01","unweighted","Ranger","KLF12",0.000225353163474231,73,FALSE
"Fold2.Rep01","unweighted","Ranger","SLC7A6",0.000225168390931103,74,FALSE
"Fold2.Rep01","unweighted","Ranger","IL11RA",0.000215913730744898,75,FALSE
"Fold2.Rep01","unweighted","Ranger","RNASEN",0.000208017646239518,76,FALSE
"Fold2.Rep01","unweighted","Ranger","SGK223",0.000200582775564021,77,FALSE
"Fold2.Rep01","unweighted","Ranger","FAM50B",0.000197785183426506,78,FALSE
"Fold2.Rep01","unweighted","Ranger","RABL2A",0.00017993010954959,79,FALSE
"Fold2.Rep01","unweighted","Ranger","PATZ1",0.000165458990199703,80,FALSE
"Fold2.Rep01","unweighted","Ranger","PRSS23",0.000120140936834004,81,FALSE
"Fold2.Rep01","unweighted","Ranger","LEF1",0.000107025593221717,82,FALSE
"Fold2.Rep01","unweighted","Ranger","NR1D2",0.000102903058872235,83,FALSE
"Fold2.Rep01","unweighted","Ranger","BACH2",9.33692908324057e-05,84,FALSE
"Fold2.Rep01","unweighted","Ranger","C2orf89",6.89655172413792e-05,85,FALSE
"Fold2.Rep01","unweighted","Ranger","POLR1B",6.05553705693569e-05,86,FALSE
