"dataset","specificity","sensitivity","AUC"
"GSE26440",0.5625,0.969387755102041,0.888552295918367
"GSE26440",0.59375,0.969387755102041,0.888552295918367
"GSE26440",0.625,0.969387755102041,0.888552295918367
"GSE26440",0.625,0.959183673469388,0.888552295918367
"GSE26440",0.65625,0.959183673469388,0.888552295918367
"GSE26440",0.6875,0.959183673469388,0.888552295918367
"GSE26440",0.6875,0.948979591836735,0.888552295918367
"GSE26440",0.71875,0.948979591836735,0.888552295918367
"GSE26440",0.71875,0.938775510204082,0.888552295918367
"GSE26440",0.75,0.938775510204082,0.888552295918367
"GSE26440",0.78125,0.938775510204082,0.888552295918367
"GSE26440",0.78125,0.928571428571429,0.888552295918367
"GSE26440",0.78125,0.918367346938776,0.888552295918367
"GSE26440",0.8125,0.918367346938776,0.888552295918367
"GSE26440",0.8125,0.908163265306122,0.888552295918367
"GSE26440",0.8125,0.897959183673469,0.888552295918367
"GSE26440",0.8125,0.887755102040816,0.888552295918367
"GSE26440",0.8125,0.877551020408163,0.888552295918367
"GSE26440",0.8125,0.86734693877551,0.888552295918367
"GSE26440",0.8125,0.857142857142857,0.888552295918367
"GSE26440",0.8125,0.846938775510204,0.888552295918367
"GSE26440",0.8125,0.836734693877551,0.888552295918367
"GSE26440",0.8125,0.826530612244898,0.888552295918367
"GSE26440",0.8125,0.816326530612245,0.888552295918367
"GSE26440",0.8125,0.806122448979592,0.888552295918367
"GSE26440",0.8125,0.795918367346939,0.888552295918367
"GSE26440",0.8125,0.785714285714286,0.888552295918367
"GSE26440",0.8125,0.775510204081633,0.888552295918367
"GSE26440",0.8125,0.76530612244898,0.888552295918367
"GSE26440",0.8125,0.755102040816326,0.888552295918367
"GSE26440",0.8125,0.744897959183674,0.888552295918367
"GSE26440",0.84375,0.744897959183674,0.888552295918367
"GSE26440",0.84375,0.73469387755102,0.888552295918367
"GSE26440",0.84375,0.724489795918367,0.888552295918367
"GSE26440",0.84375,0.714285714285714,0.888552295918367
"GSE26440",0.84375,0.704081632653061,0.888552295918367
"GSE26440",0.84375,0.693877551020408,0.888552295918367
"GSE26440",0.84375,0.683673469387755,0.888552295918367
"GSE26440",0.84375,0.673469387755102,0.888552295918367
"GSE26440",0.84375,0.663265306122449,0.888552295918367
"GSE26440",0.84375,0.653061224489796,0.888552295918367
"GSE26440",0.84375,0.642857142857143,0.888552295918367
"GSE26440",0.875,0.642857142857143,0.888552295918367
"GSE26440",0.875,0.63265306122449,0.888552295918367
"GSE26440",0.875,0.622448979591837,0.888552295918367
"GSE26440",0.875,0.612244897959184,0.888552295918367
"GSE26440",0.875,0.602040816326531,0.888552295918367
"GSE26440",0.90625,0.602040816326531,0.888552295918367
"GSE26440",0.90625,0.591836734693878,0.888552295918367
"GSE26440",0.90625,0.581632653061224,0.888552295918367
"GSE26440",0.90625,0.571428571428571,0.888552295918367
"GSE26440",0.90625,0.561224489795918,0.888552295918367
"GSE26440",0.90625,0.551020408163265,0.888552295918367
"GSE26440",0.90625,0.540816326530612,0.888552295918367
"GSE26440",0.90625,0.530612244897959,0.888552295918367
"GSE26440",0.90625,0.520408163265306,0.888552295918367
"GSE26440",0.9375,0.520408163265306,0.888552295918367
"GSE26440",0.9375,0.5,0.888552295918367
