"Sample","ME","Group"
"GSM1692230",-0.0369230154555209,"Disease"
"GSM1692231",-0.000662970243976115,"Disease"
"GSM1692232",0.0437465882663898,"Disease"
"GSM1692233",-0.0212497978387556,"Disease"
"GSM1692234",-0.0481909248187004,"Disease"
"GSM1692237",0.0101124553809729,"Disease"
"GSM1692238",0.0235872321923146,"Disease"
"GSM1692239",-0.0183016740138205,"Disease"
"GSM1692240",0.0577512230070078,"Disease"
"GSM1692241",0.0148851932498727,"Disease"
"GSM1692242",-0.0259900841872229,"Disease"
"GSM1692243",0.0534422142445555,"Disease"
"GSM1692244",-0.0380349221021083,"Disease"
"GSM1692245",-0.0212865070784214,"Disease"
"GSM1692247",-0.0385200834305083,"Disease"
"GSM1692248",-0.00201453227228061,"Disease"
"GSM1692249",0.00540795601091372,"Disease"
"GSM1692251",-0.0130039004429112,"Disease"
"GSM1692252",-0.0168906990609799,"Disease"
"GSM1692253",-0.0343243911002684,"Disease"
"GSM1692254",-0.0385287422393438,"Disease"
"GSM1692255",0.0109389686570328,"Disease"
"GSM1692256",-0.0120376065621751,"Disease"
"GSM1692257",0.0373746454279936,"Disease"
"GSM1692258",-0.0220106921952571,"Disease"
"GSM1692259",0.0177543166885192,"Disease"
"GSM1692260",0.0129272363126072,"Disease"
"GSM1692261",0.0600959039208883,"Disease"
"GSM1692262",-0.0248375919681376,"Disease"
"GSM1692263",-0.01313232158718,"Disease"
"GSM1692264",0.00918636095646918,"Disease"
"GSM1692265",-9.35136798159238e-05,"Disease"
"GSM1692266",-0.000656297342369544,"Disease"
"GSM1692267",0.0122008727698456,"Disease"
"GSM1692268",0.048758935653964,"Disease"
"GSM1692269",-0.0060926403472933,"Disease"
"GSM1692270",-0.0113362186864904,"Disease"
"GSM1692271",-0.0422849874341924,"Disease"
"GSM1692272",-0.0268540527340493,"Disease"
"GSM1692273",-0.0082081931775112,"Disease"
"GSM1692274",-0.0212446188554395,"Disease"
"GSM1692275",-0.0196454504432055,"Disease"
"GSM1692276",-0.00648533861663574,"Disease"
"GSM1692277",-0.033298371083759,"Disease"
"GSM1692278",0.0488011178294809,"Disease"
"GSM1692279",-0.0299947453069307,"Disease"
"GSM1692280",0.00630016673821352,"Disease"
"GSM1692281",-0.0468964320058343,"Disease"
"GSM1692282",-0.0375440237164001,"Disease"
"GSM1692283",-0.00422622745497238,"Disease"
"GSM1692284",0.0817553987211703,"Disease"
"GSM1692286",-0.0282661574621776,"Disease"
"GSM1692287",0.0079337469419131,"Disease"
