system,replicate,metric,block_start_ns,block_end_ns,n,mean,sd,median,q25,q75,min,max,last
apo,1,chain_D_backbone_rmsd_nm,20.0,40.0,2000,0.30932443225,0.014247686724991243,0.3087066,0.30031825,0.31816285,0.2492909,0.3633512,0.3184094
apo,1,chain_D_backbone_rmsd_nm,40.0,60.0,2000,0.31697797525,0.030747126379713885,0.3094788,0.29699102499999996,0.325328375,0.2704211,0.4279536,0.3623006
apo,1,chain_D_backbone_rmsd_nm,60.0,80.0,2000,0.3374131166,0.03453724725748343,0.3458637,0.323730875,0.361007625,0.2181623,0.4106447,0.3460515
apo,1,chain_D_backbone_rmsd_nm,80.0,100.0,2001,0.33962579105447277,0.01573770175937373,0.3398886,0.329882,0.3500496,0.2783643,0.3975759,0.3568907
apo,1,chain_B_D_com_distance_pbc_nojump_nm,20.0,40.0,2000,1.8318155000000003,0.023746039605552646,1.832,1.816,1.848,1.754,1.912,1.796
apo,1,chain_B_D_com_distance_pbc_nojump_nm,40.0,60.0,2000,1.7750394999999999,0.0312531649582879,1.777,1.754,1.798,1.682,1.858,1.765
apo,1,chain_B_D_com_distance_pbc_nojump_nm,60.0,80.0,2000,1.7535574999999999,0.024359626217262065,1.753,1.738,1.769,1.661,1.83,1.762
apo,1,chain_B_D_com_distance_pbc_nojump_nm,80.0,100.0,2001,1.745576711644178,0.027620793568999935,1.744,1.726,1.764,1.666,1.847,1.765
apo,1,protein_rg_nm,20.0,40.0,2000,1.7073640049999999,0.007576143642132068,1.70707,1.70234,1.7122225,1.67881,1.73411,1.70328
apo,1,protein_rg_nm,40.0,60.0,2000,1.70526854,0.008699327256504257,1.705015,1.6992025000000002,1.7108625,1.68165,1.7374,1.71103
apo,1,protein_rg_nm,60.0,80.0,2000,1.7032649850000001,0.011327829106051297,1.70218,1.6951,1.7094075,1.67718,1.7485,1.70268
apo,1,protein_rg_nm,80.0,100.0,2001,1.6945043778110946,0.012606527829866059,1.69285,1.68546,1.70064,1.66573,1.73719,1.71687
apo,1,protein_sasa_nm2,20.0,40.0,200,105.25823499999998,1.7106860094387417,105.18,104.0375,106.374,100.478,109.736,107.134
apo,1,protein_sasa_nm2,40.0,60.0,200,107.443485,1.8566230921505125,107.316,106.15375,108.74525,102.611,113.415,105.274
apo,1,protein_sasa_nm2,60.0,80.0,200,107.05640499999998,1.9796154392740168,106.777,105.57300000000001,108.361,101.318,113.062,104.431
apo,1,protein_sasa_nm2,80.0,100.0,201,105.03491044776119,2.0559112242361777,104.89,103.621,106.518,99.589,111.115,106.716
